Character name,"Character race (human, orc, halfling, etc)","Character class (wizard, bard, cleric, etc)"
Smakk Teefbreakur,Orc,Monk
"Kel, the Red Hawk",Halfling,Cleric 
Nero,Human ,Pugilist
Sneakshot Grumbleguts,Goblin,Sniper
Alero ,Human ,Fighter
Scaly the Infinite,Kobold,Deity
Nila Gaffe,Goblin,Warlock
Silas Black,Human,Necromancer
Shafarn,Dragonborn,Cleric
Graatch,Gnoll,Bard
Stliris,Kobold,Artificer
Santoro Yojimashita,Half-orc,Samurai
tyson mcnuggets,werewolf,wizard
Murray,Minotaur,Druid
Juniper Elfsson,Half-elf,Druid
Archibald,Eladrin,Paladin
Selwyn Moondown,Half-elf,Warlock
Akira,Human,Kensai
Jean Cloud Van Damme,Genasi,Ranger
Iona Dis,Dwarf,Barbarian Druid
Koranna,Siren,Rogue
Danalog,Elf,Wizard
Kyri,Halfling,wizard
Skittles,Dragonborn,Cleric
Gornaka,Orc,Bard
Plik,Elf,Fencer
Tumblebee,Halfling,Barbarian
June Asbell,Human,Sorceress
Grogsby,Bear,Were-Bear
Shore Freelight,Human,Rogue
Peter Parker,Human,Spider-Man
Amandothy,Half Halfling,Boxer
Luca Arivaldi,human,warlock 
Sazen,strix,cleric
Eryn,Tiefling ,Paladin
Ailsa Grey,Selkie,Druid
Dave,Ifrit,Ranger
Nifredeil Moredhel,Drow,Cavern Sniper
Dario Nardozzi,Human,Paladin
Tala,elf,barbarian
Caitlyn Viscario,Human,Illusionist
Nathaniel Winter III,Undead,Archivist
TskTsk,Thri-kreen,Fighter
Nardu Miri-miri,Human,Druid
Agofon Warbullion,Dwarf,Witch
"Heinrich ""Hank"" Von Edelmann",Human,Warlock
Temiel Taintedblade,Half-elf,Rogue
Ashael Bladeshifter,Human,Ranger
Regalo the Gold,Dragonborn,Fighter
Trean Maeglan,Elf,Fighter
Rian Ainsley,Human,Rogue
Helimene,Human,Cleric
Constanze von Eisenbrandt,Human,Cleric
Anethir Chomsky,gnome,warlock
Emery Renwood,Human,Bard
Neige,Halfling,Barbarian
Kiriath,Half-elf,Warlock
Lump Under the Blanket,Tabaxi,Druid
Ishmael Gru'Dorr,Half-Orc,Fighter 
BamBam Stonebreaker,dwarf,Barbarian
Valtrois,Drow,Sorcerer
Scraping,Kenku,Artificer
Crystal Stonebreaker,Dwarf,Bard
Amelie Val'Dellonov,Human,Psion
Waldorf,Gnome,Wizard
Ven Ragara,Human,Bard
Guinness Stonebreaker,Dwarf,Rogue
W,Warforged,Warlord
Nora the Destroyer,Half Ent,Archer
Amrod,Elf,Wizard
Yatherawen,Eladrin,Wizard
Tumenburilgi,Human,Barbarian
Szymon,Half-Elf,Wizard
Anvard,Human,Fighter/Paladin
Thorinel,half-elf,rogue
Uznun Naragturg,duergar,fighter and druid
Jax,Human,Fighter
Leanora,Half-elf,Rogue
Vynn Starcaller,Human,Rogue
Nomi Pyras,Catfolk,Fighter
Marjala Hayaron,Half-elf,cleric
Jace von Broheim,human,barbarian
Isatora Ketlin,Halfling,Cleric
Chriton Powers,Human,Wizard
Sugartits,Elf,Paladin
Periphrasta,Eladrin,Wizard
Great Thoan,Halfling,Cleric
Xetalia Nykarleby,Genasi,Paladin
Hendibligg,Gnome,Monk
Skotze Urtommir,Half-orc,Ranger
Malinda Rackham,Half elf,Swashbuckler
Jaerill Mie,Human,Cleric
Orson,Human,Sorcerer
Hlin,Aasimar,Paladin
Hildred Bloodaxe,Hill dwarf,Cleric
Hearn,Human,Cleric to the God of Swords
Ildefons,Upper-class,Huntsman
Simms Agere,Human,Necromancer
Trentin Claudius,Human,Mesmerist
Stenson Steelstaff,Dwarf,Wizard
Golnaz,human,ranger
Rico Suave,human,thief
Aneta,salamander,immolator
Silyes Polidyne,Gnome,Warlock
Maximilian Ferdinand Valentine,Human,Fighter
n__,human,mage
Oiki Halcyon,Human,Fighter
William Waltz,Human,Bard
Barnaby,Human,Barbarian
Aven Hawkwind,Aarakocra,Wizard
Dench Emen,Half-orc,Barbarian
Tau Dawnstar,Gnome,Psion
Elodin Auri Biaduain,Illumian,Bard
Hedva,gnome,bard
Namfoodle Beren,Rock Gnome,Artificer
Brian,Human,Wizard
Hjallmar Borhammer,dwarf,fighter
Ikki,Aarakocra,Rogue
Marco Antonio,human,rogue
Bell'thrith,drow,Bloodhunter
Vikram Whitehammer,Dwarf,Fighter
Socks Proboscis Gelato,Half-elf,Paladin
Tesni Cadwaladr,Human,Wizard
Itineran Carth,Human,Bard
Dimble Gimble Stumbleduck,Gnome,Bard/Rogue
Sol Sidelina,Human,Sorcerer
Lydia Il'Daern,Elf,Sorcerer
Prill Trufflescrub,Halfling,Rogue
Tazzard,Lizardfolk,Barbarian
Luca S'letthk,Human,Rogue
Renia,half-elf,sorcerer
Cinder,drow,rogue
Alwynn,Halfling,Bard
Thorn,human,Cleric
Blend Villalobos,wood elf,druid
Kersen,Gnoll,Ranger
Io Velderan,Tiefling,Alchemist
Saida,Elf,Paladin
Moira Atropos,Tiefling,Oracle
Reylian,Orc,Brawler
Leria,High Elf,Cleric
Alek,human,rogue
Arbor Brogle,Dryad,Cleric
Kimura Verdigris,Human,Fighter
Celeste Farglen,Human,Paladin
Korendil Xiloscient,Elf,Ranger
Glar'bou,Ogre,Wizard
Cael of Numeria,Human,Ranger
Tim,Human,Druid
Taako From T.V.,Elf,Wizard
Merle Highchurch,Dwarf,Cleric
Sam,Gnome,Rogue
Kromac,Dwarf,Monk 
Magnus Burnsides,Human,Fighter/Rogue
Sinead,Halfling,Bard
Ailyn,Half elf,bard
Evany,Elf,Thief
Ginnifer Hagerton,Human,Bard 
Arlan,Human,Warlord
Boborio,Gnome,Wizard
Adfuvia,Half-Elf,Ranger
Kasrai Valan,Water Genasi,Cleric
Penance,Dragonborn,Paladin
Daerrik Z'landyr,Half Elf,Bard
Lirwen,Half-elf,Bard
Cid the Hungry,Half Orc,Barbarian
Parin Nercus,Half Elf,Cleric
Herbert Cornelius the 23rd,Human,Alchemist
Gunther Hausmann,Human,Alchemist
Father Simon Lentinov,Half Elf,Cleric
Boris Hammerhart,Dwarf,Foehammer fighter
Meow swansong,Teifling,Skald
Aderyn Lithari,tiefling,paladin
Panamin,Halfling,Bard
Hellmouth,Human,Diabolist wizard
Lithandantilus ,Elf ,Swordsman
Tim Dibble,Halfling,Druid
Morven Vellamo,goliath,cleric
Ad'houm,Dragonborn,Cleric
Doctor pippy ting ting,Gnome,Bard
Billy Ray Cyclops,Tiefling,Warlock
Keldrin Littlebluff,hafling,warlock
Myrrth,Half-orc,Inquisitor
Zandri Sonsalor,dragonborn,rogue
Ilmari Vestrel,aasimar,bard
Vasya hammerhart,Changeling,Mesmerist
Ezma Greenstone,Half-elf,Sorceror
Mara Hollins,Human,Cleric
Riggs Murdoon,gnome,barbarian
Paloma Dunley,Human,Warlock
Elaine,Elf,Druid
Lira Vale,triton,ranger
Mondongis dingus con dingwittle,Halfling,Occultist
Socks Gelato,Half-elf,Paladin
Amara Kianmae,Half Elf,Witch
Zoltar,Half elf ,Wizard
Dicques Knuttse,Tiefling,Artificer
Hugh,Elf,cleric
Muta,Tabaxi,Barbarian
Aelwyn Dien,Elf,Magus
Rowan Amastacia,Half-Elf,Ranger
Shenza Stormfist,half-orc,wizard
Henry & Tobias,Halfling,Bard
Tylenol,Half-elf,Wizard
Richard rockhart,Oread,Barbarian
Drendle drang,Human,Rogue
Flop Twinkletoes,Kender,Handler
Engimar,Human,Witch
Adewnn Mithavail,Elf,Druid
Corvarra Arrylia ,Half-Elf,Rogue
Rhythm of Drums ,Tabaxi,Bard
Cassrius D'Abyss,Tiefling ,Sorcerer 
Har Veris,Dragonborn,Bard
Felix Flint,Human,Fighter
Merin,Catfolk,Sorcerer
"Oira ""Dust"" Oathrune",Dwarf,Fighter
Besley Barhart,Half-orc,Bard
The Briar Rose,Half-elf,Warlock
Selene,Aasimar,Sorcerer
Aramorel Fletcher,Half-Elf,Druid
Rick Brutal,Human,Gunslinger
Keirum,Human,Wizard
Da'kal Fleetfoot,Halfling,Rogue
Kova,Half-elf,Sorcerer
Gundyr,Firbolg,Bard
Svenk Rassenthatch,Drow,Wizard
Chrysanthemum van Messing,Dragonborn,Fighter
Vira Moonmist,Half-Elf,Ranger
Arabella Windrock,Human,Ranger
Faba Ris,Tiefling,Sorcerer
Beiro Winter,Human,Sorcerer
Bellamy Xiloscient,High Elf,Wild Magic Sorcerer
Blackwell,Halfling,Cleric
Darf,Elven,Cleric
Attano Spellmont,Kenku,Artificer
Cecil,Dragonborn,Rogue
Gharol,Tiefling,Sorcerer
Dove Holt,Dragonborn,Fighter
Kaylac Grumash,Half-Orc,paladin
Videl,Xanaku,Gatekeeper
Kazma,Gnome,Rogue
SteinDreg,Dwarf,Cleric
Florian Merbles,Halfling,Sorcerer
Loark Stormborn,Dwarf,Cleric
Vilya Stormborn,Dwarf,Cleric
Finnith Fëanor,Elf,Bard
Ell,Human,Warlock
Celeste Loneoak,Half-elf,Sorcerer
Din,Changeling,Bard
Zaht Theris,Elf,Rogue
Hero Starfavored,Human,Sorcerer
Kretzel Zurzen,half-elf,thief
Thalia Crane,Human,Bard
Quirk,Tiefling,Wizard
Saoirse Llewellyn,Human,Druid
Yilli,Kobold,Rogue
Mita,Elf,Fighter
Cyrn,Half-elf,Bard 
Confidence,Tiefling,Sorcerer
Fenwin Pennywhistle ,Gnome,Bard
Willow Swiftsea ,Half-Elf,Rogue
Thorin Ironheart,Dwarf,Fighter
Gabbylittle Gillywook,Gnome,Wizard
Athirykiel Barrindar,Drow,Weapons Master (Scimitar)
Nymtar Barrindar,Drow,Rogue
Sacklebinky Hunklepunk,Gnome,Wizard
Njal Halmársson,Human,Sorcerer
Maude Moonwhisper,Elf,Ranger
Nwalme Sorrowsong,Half-elf,Warrior
Urist Besmarkebar,Dwarf,Cleric
Rynad'eari Torvirr,Drow,Cleric of Eilistraee
Selini,Aasimar,Cleric
Valrak Sharpmaw,Werewolf,Barbarian
Mia Alhe,Air Genasi,Monk
Callie Thornhill,halfling,paladin
Cael Flameanvil,Dwarf,Cleric
Izac Gado,Tiefling,Warlock
T'larryo Darkwing,Avariel,Sorcerer 
Abraham Siannodel,Half Elf,Ranger
Abraham Siannodel,Half Elf,Ranger
Aingred Dalakrss,Half-orc,Cleric
Maelstrom,Kobold,Rogue
Saberwulf,Human,Fighter
Tatterwyn,Gnome,Cleric
Lilith,Tiefling,Warlock
Tacco,Elf,Rogue
Juneaux Brightmoon,Human,Cleric
Yanaba Widowmaker,Human,Barbarian
Ambelina,elf,mage
Narriko,Blackthorn,Favored Soul/Wizard
Jaxon,human,rogue
Aleyna Serrinsdottir,Human,Druid
Johari Blackthorne,Human,Beguiler
Astrid,human,sorcerer
Belladonna Shadowpine,Human,Bard/Wizard
Alton,elf,rogue
Lorelei Silvertree,Elf,Fighter
Kylara Forgedaughter,Human,Paladin
Shamorn Ardnyl,Dragonborn,Druid
Sjach,Human,Soulknife
Lillith Fairchild,Human,Sorcerer
scuttlebutt,gnome,sorceror
Snugglebugs,Pixie,Druid
Saoirse Siofraleathe,Fae-Touched ,Bard 
Jannys,half-elf,warlock
Elyan,human,paladin
Tirga,gnome,wizard
Evgeni,human,cleric
Aster Tourmaline,dwarf,druid
Alak Everhtaz,drow,ranger
Lis Delan,Human,Rogue
Layla,Halfling,Druid
Solomon Dunwich,Human,Barbarian
Gildor Arcarin,Elf,Monk
Bunny,Human,Engineer
Owen Whithorn,Human,Monk
Devlin,Celestial,Druid
Randall Excellence,Human,Sorcerer
Grunyar Faderheim,Dwarf,Cleric
Madelyn Raid,Half-elf ,Monk
Grek,Dragonborn,Barbarian
Dimzad,Dwarf,Barbarian
Abragian,Human,Cleric
Angir Raerath,Elan,Psion
Kristalanne,Human,Mage
Sygonnia,Gnome,Warlock
Nihanamaru,Kitsune,Ninja
Nytesong,Elf,Druid
Bazoril Stoneheart,Dwarf,Cleric
Opalea,Elf,Hunter
Tassadar Silvanus,Elf,Wizard
Ravil Tah,Half Orc,Paladin
Zane Zander,Human,Fighter
Mavre,Dragonborn,Paladin
Petalclaws,Werebear,Monk
Maximilian Von Spee,Goblin,Artificer
Corvus,Half Elf,Rogue
Murmur,Kenku,Wizard
Grunkle Longtoof,Goblin,Rogue
Sorren,Catfolk,Druid
"Amathar ""Cloudclimber"" Galathali",Goliath,Wizard
Ayara Yelmh,Fallen Aasimar,Paladin
Valarius,Human,Wizard
Alasdair Galanodel Holimion,Elf,Rogue
Zhui'ol,human,ranger
Alfred McWizbang,Gnome,Wizard
Makkapitew,Lizardfolk,Rogue
"Iados ""Will"" Emmerich",Tiefling,Fighter
Tazliel,Dwarf,Bard
Kana'an Bloodhorn,Orc,Bard
Kieran,Human,Paladin
Devin Highhill,Halfling,Cleric
Cal Illili,Halfling,Psion
Victor Tarn,Human,Artificer
Victor Tarnath,Elan,Witch
Ryo Kaijutsu,Half-Elf,Magus
Flonne,Aasimar,Cleric
Chance,Dragonborn,Rogue
Basil,halfling,monk
Jayden Angelesc,Human,Ranger
Daylan,Halfling,Barbarian
Emmerich Mävros,Tiefling,Arcanist
kaffe,kenku,warlock
Staren Emmerich,Human,Sorcerer|Ardent
Blade of the Elements,Earth Genasi,Swordmage
Pfibe Pfindlebrick,gnome,rogue
Donn Weller,Human,Ranger
Mithos,Half-elf,Sorceror
Beetle,Eladrin,Paladin
Dead Guy,Orc,Revenant
Valiss Truthtwister,elf,rogue
Mina,Kenku,Psion
Maisie Doats,human,rogue
Meepo,Goblin,Cleric
Jeska Seltar,Human,Oracle
Izalis Stonethighs,Dwarf,Warpriest
Xingi,Sun elf,Sorcerer
Xingi,Sun elf,Sorcerer
Kiki,Goat shifter,Monk
Simon Swiftfoot,Halfling,Bard
"Khildros ""Evergreen"" Nash",Tiefling,Ranger
Dubhan,Human,Wizard
Phye,Human,Ardent
Wendell Rosetti,Half elf,Wizard bard
Rhogar Delmirev,Dragonborn,Bard
Nightbreeze,Drow,Rogue
Mr Gimble,Halfling,Cleric
Alix Amanda,Halfling,Shadowdancer
Eryn,Elf,Cleric
Torik Stoneaxe,dwarf,sorcerer
Sarako Zumisha,Halfling,Sorcerer
Samuel Belmont,Human,Fighter-Mage
Clarise,Human,Warder
Lisette,Human,Rogue
Sanai,Human,Avowed
Lancere,Genasi,Swordmage
Grellis Liadon,Elf,Wizard
Elza,Elf,Druid
Dala Pewter,Human,Cleric
Thessaly Thorncastle,half-orc,paladin
"Edith Steele, Bearer of Runekill",human,wizard
Atolle,Trollblooded,Druid
Melusine d'Abaular-Abbifar,drow,Cleric
Nadiana the 37th,Mermaid,Bard
Remi Twostep,Halfling,Fighter
Eusquibedes,Half-Orc,Wizard
Rascal Wince,Human,Bard
Gnygen the Gnomish Gnecromancer,Gnome,Wizard
Brambish Oldfur,Halfling,Sorcerer
Lirianthalas,elf,ranger
Paisley of the Noble Jackalope Clan,Wood Elf,Paladin
Petunia of the Noble Jackalope Clan,Wood Elf,Ranger
Brun Hilda,Human,Clown
Arryne,Human ,Wizard
Avi the Kid,half-elf,paladin
Kapok,Half-elf,Druid
Mirellia Wolfsbane,Human,Ranger
Morgan,Human,God
Chuckle,Kenku,Wizard
Zook Stumbleduck,Gnome,Cleric
Leumas Brighthollow,Elf,Ranger
Mundur Lungtruffle,Dwarf,Barbarian
 Gabbro Eelstooth,Dwarf,Rogue
Afet Kistitir,Brass dragonborn,Bard
Vorkis Kior,Silver dragonborn,Ranger
Llewellyn Heavymetal,Human,Necromancer
Ankita Rocha,Orc,Rogue
Havanna H'laeitryn,Wood elf,Druid
Cressida Corrigos,Aasimar,Paladin
Saebriel,Elf,Wizard
Swarthabliatus Marzelbaum,Tiefling,Paladin
Ras Merkiah,Half Elf,Ranger
Cordelia Fletcher,Human,Wizard
Julian Nightingale,Human,Bard
Lorgash,Half-orc,Paladin
Mads Havoc,Human,Rogue
Dhomar,Halfling,Warlock
akorae dalael,drow,bard
Lyle Greenbottle,Halfling,Rogue
Caisys Overhill,Human,Cavalier
Dave Barrowhill,Halfling,Bard
Delta Viatore,Half-Elf,Paladin
Moss,gnome,wizard
Pelma,Spiderfolk,Druid
Archimedes,Elf,Wizard
Cici,Spellscale,Sorcerer
Ravelin,dwarf,crusader
Beka Autumncrop,Halfling,Rogue
Gritsel,Gnome,Rogue
Ozark,Human,Bard
Fang,Rabbit,Monk
Olga,Half-orc,Druid
Crispian Bontyr,Human,Rogue
Elain,Half-Elf,Ranger
Delsura Eruvan,Elf,Rogue
Pebble in the Sand,Tabaxi,Druid
Petryn Alenyath,Triton,Fighter
Clopen,Human,Fighter
Klein,Lilliputian,Assassin
Mirabelle Althrin,Human,Cleric
Pfaff,Gnoll,Paladin
Lina Tealeaf,Halfling,Rogue
Grey Bloodwater,Elf,Sorceress
Aoth Demir,Human,Rogue
Rosalyn Lel'eveth Catra,Half-elf,Paladin
Amber,Dwarf,Sorceress
Rea,Human,Bard
Lily,Human,Bard
Grthr-Tük'en Orokhla Aldenstone,Orc,Wizard
Evalayne,High Elf,Wizard
Emgeri,Human,Ranger
Drumlin Bloodknuckle,Dwarf,Barbarian 
Frandr,Human,Rogue
Athel Carver,human,paladin
Hamish Meadpuddle,halfling,thief
Chaelra del Ciudad,human,rogue
Thane William of Westfall,human,fighter
Big John Steadly,Dwarf,Ranger
Llewellyn oth Cewan,human,wizard
"Callipo ""Callie"" Dayherd",Halfling,Cleric
Mighty Boris,Human,Barbarian
Nimrath Darquefartyr,half-ogre,necromancer
Tamora Rageskull,Dragonborn,Barbarian
Zalmurth,half-elven,cleric
Gromarthin the Wicked,human,gloom mage
Ísabel Puentos,human,scholar
Sombra,dog,animal companion
Macbethu,Human,Rogue 
Kokin Twice-Born,human,druid
Ead Carver,human,wizard
Oellentia,human,cleric
Inge Puentos,human,wizard
Sylatria,elf,wizard
Parsentyn,human,ranger
Firelys,elf,duskblade
Yergen Thewenweld,dwarf,fighter
Uathsaye Nodellian,elf,fighter
Erok Kragen,Half Orc,Barbarian
Hypaticra,human,sorceror
Duthal Firyn,Elf,Wizard
Braxis Orali,Elf,Mage
Halvor Schildkröte,Dwarf,Fighter
Ozzy Ozzy Ozzy ,Gnome,Bard/Cleric
Zvezdoliki,Warforged,Swordmage
Granny Samara,Wood elf,Cleric
Ham Goodchild,Halfling,Cleric
Desdemona Gray,Human,Wizard
Blodwen Brighthelm,Human,Cleric
"Richard ""Smalls"" Ravenswood",Human,Duelist
Alrendae,Forsaken,Death Knight
Kurshin Wolf-Brother,Dhampir,Cleric
Takano Isoroku ,Human,Samurai
Gimp,Orc,Barbarian
"Sylvester ""Vest"" Zodderskite",Goblin,Tinker
Sora,Dragonborn,Cleric
Rune Stendahl,Human,Fighter/Rogue
Brikaria,Tiefling,Sorceror
Bink Greppick,Gnome,Wizard
Annoura Dumein,human,Rogue
Vortix,Gnome,Wizard
Belathore Skywind,Human,Wizard
The Banshee,Human,Monk
Sasha,Goblin,Rogue
Daniel Marshmallow,Human,Fighter
Hjordis,Dragonborn,Barbarian
Austin Wintershaw,Human,Scholar
Wally Wicker,Lizardfolk,Fighter
Shim,Dwarf,Rogue
Breeze,Human,Cleric
Placeholder Name,Half orc,Bard
Parity,Tiefling,Cleric
Milden Varkol,Gnome,Warlock
Kela,halfling,cleric
Page,Gnome,Fighter
Tealia,Elf,wizard-fighter
Gerhardt Errickson,Human,Oracle
Vivian Blackhart the vi,halfling,fighter
Brynn Leailo,Wood Elf,Wizard
Delg,Hill Dwarf,Druid
Tyberr Shattershield,Half Orc,Cleric
